time_sec,frame,raw_motion_score,filtered_motion_score,raw_center_shift,filtered_center_shift,state,immobile_time,alarm,risk_score,turn_direction
0.4,10,0.0,0.0,0.0,0.0,MINOR_HAREKET,0.4,YOK,1,BELIRSIZ
0.8,20,10.77,6.46,2.16,1.3,AKTIF_HAREKET,0.0,YOK,11,NORMAL
1.2,30,12.71,10.21,27.08,16.76,POZISYON_DEGISTIRME / DONME,0.0,YOK,35,SOLA_KAYMA
1.6,40,16.09,13.74,15.95,16.27,POZISYON_DEGISTIRME / DONME,0.0,YOK,40,NORMAL
2.0,50,10.59,11.85,13.6,14.67,AKTIF_HAREKET,0.0,YOK,35,NORMAL
2.4,60,9.23,10.28,23.69,20.08,POZISYON_DEGISTIRME / DONME,0.0,YOK,39,SOLA_KAYMA
2.8,70,5.0,7.11,10.98,14.62,AKTIF_HAREKET,0.0,YOK,28,NORMAL
3.2,80,10.84,9.35,20.79,18.32,POZISYON_DEGISTIRME / DONME,0.0,YOK,35,SOLA_KAYMA
3.6,90,19.3,15.32,19.26,18.88,POZISYON_DEGISTIRME / DONME,0.0,YOK,46,NORMAL
4.0,100,18.62,17.3,18.09,18.41,POZISYON_DEGISTIRME / DONME,0.0,YOK,48,NORMAL
4.4,110,17.37,17.34,17.63,17.94,POZISYON_DEGISTIRME / DONME,0.0,YOK,48,NORMAL
4.8,120,15.24,16.08,30.32,25.37,POZISYON_DEGISTIRME / DONME,0.0,YOK,54,SOLA_KAYMA
5.2,130,14.69,15.25,30.08,28.19,POZISYON_DEGISTIRME / DONME,0.0,YOK,56,SOLA_KAYMA
5.6,140,26.14,21.78,15.0,20.28,POZISYON_DEGISTIRME / DONME,0.0,YOK,58,NORMAL
6.0,150,36.67,30.72,80.23,56.25,POZISYON_DEGISTIRME / DONME,0.0,ANI_HAREKET_UYARISI,80,SAGA_KAYMA
6.4,160,17.68,22.9,25.64,37.88,POZISYON_DEGISTIRME / DONME,0.0,BELIRGIN_POZISYON_DEGISIMI,76,NORMAL
6.8,170,29.64,26.94,22.62,28.72,POZISYON_DEGISTIRME / DONME,0.0,ANI_HAREKET_UYARISI,72,DOGRULMA
7.2,180,20.35,22.99,11.99,18.68,POZISYON_DEGISTIRME / DONME,0.0,YOK,58,NORMAL
7.6,190,24.09,23.65,39.22,31.0,POZISYON_DEGISTIRME / DONME,0.0,YOK,73,NORMAL
8.0,200,28.63,26.64,37.61,34.97,POZISYON_DEGISTIRME / DONME,0.0,ANI_HAREKET_UYARISI,79,SOLA_KAYMA
8.4,210,22.3,24.04,36.53,35.91,POZISYON_DEGISTIRME / DONME,0.0,BELIRGIN_POZISYON_DEGISIMI,78,DOGRULMA
8.8,220,22.18,22.92,12.0,21.56,POZISYON_DEGISTIRME / DONME,0.0,YOK,61,NORMAL
9.2,230,17.4,19.61,35.13,29.7,POZISYON_DEGISTIRME / DONME,0.0,YOK,65,DOGRULMA
9.6,240,24.49,22.54,16.28,21.65,POZISYON_DEGISTIRME / DONME,0.0,YOK,60,NORMAL
10.0,250,14.67,17.82,33.31,28.65,POZISYON_DEGISTIRME / DONME,0.0,YOK,61,SAGA_KAYMA
10.4,260,12.3,14.51,11.17,18.16,POZISYON_DEGISTIRME / DONME,0.0,YOK,43,NORMAL
10.8,270,12.55,13.34,12.38,14.69,AKTIF_HAREKET,0.0,YOK,38,NORMAL
11.2,280,8.32,10.32,24.79,20.75,POZISYON_DEGISTIRME / DONME,0.0,YOK,40,SOLA_KAYMA
11.6,290,6.65,8.12,3.93,10.66,AKTIF_HAREKET,0.0,YOK,25,NORMAL
12.0,300,6.94,7.41,0.94,4.83,AKTIF_HAREKET,0.0,YOK,17,NORMAL
12.4,310,7.88,7.7,4.0,4.33,AKTIF_HAREKET,0.0,YOK,17,NORMAL
12.8,320,9.94,9.04,6.89,5.87,AKTIF_HAREKET,0.0,YOK,21,NORMAL
13.2,330,7.34,8.02,48.51,31.45,POZISYON_DEGISTIRME / DONME,0.0,YOK,48,SAGA_KAYMA
13.6,340,15.56,12.55,47.41,41.02,POZISYON_DEGISTIRME / DONME,0.0,BELIRGIN_POZISYON_DEGISIMI,60,SOLA_KAYMA
14.0,350,16.51,14.92,49.14,45.89,POZISYON_DEGISTIRME / DONME,0.0,BELIRGIN_POZISYON_DEGISIMI,63,NORMAL
14.4,360,25.72,21.4,37.58,40.91,POZISYON_DEGISTIRME / DONME,0.0,BELIRGIN_POZISYON_DEGISIMI,74,NORMAL
14.8,370,14.03,16.98,2.35,17.77,POZISYON_DEGISTIRME / DONME,0.0,YOK,47,NORMAL
15.2,380,17.24,17.13,5.26,10.26,AKTIF_HAREKET,0.0,YOK,39,NORMAL
15.6,390,12.56,14.39,11.6,11.07,AKTIF_HAREKET,0.0,YOK,35,NORMAL
16.0,400,12.73,13.4,12.53,11.94,AKTIF_HAREKET,0.0,YOK,35,NORMAL
16.4,410,8.85,10.67,4.69,7.59,AKTIF_HAREKET,0.0,YOK,25,NORMAL
16.8,420,7.5,8.77,6.95,7.21,AKTIF_HAREKET,0.0,YOK,22,NORMAL
17.2,430,4.95,6.48,4.55,5.62,AKTIF_HAREKET,0.0,YOK,16,NORMAL
17.6,440,9.39,8.22,6.15,5.93,AKTIF_HAREKET,0.0,YOK,19,NORMAL
18.0,450,9.34,8.9,6.0,5.98,AKTIF_HAREKET,0.0,YOK,21,NORMAL
